"	date",id_station,id_parameter,value,unit
15/01/2019,UAX,PM2.5,26,2
15/01/2019,UIZ,PM10,52,2
15/01/2019,UIZ,PM2.5,30,2
15/01/2019,VIF,PM10,59,2
15/01/2019,XAL,PM10,81,2
15/01/2019,XAL,PM2.5,35,2
15/01/2019,CCA,PM2.5,28,2
15/01/2019,AJM,PM10,53,2
15/01/2019,AJM,PM2.5,33,2
15/01/2019,GAM,PM10,59,2
15/01/2019,GAM,PM2.5,33,2
16/01/2019,ACO,PM10,46,2
16/01/2019,ATI,PM10,58,2
16/01/2019,MON,PM2.5,27,2
16/01/2019,CHO,PM10,70,2
16/01/2019,CUA,PM10,39,2
16/01/2019,CUT,PM10,59,2
16/01/2019,FAC,PM10,44,2
16/01/2019,IZT,PM10,58,2
16/01/2019,MER,PM10,64,2
16/01/2019,MER,PM2.5,33,2
16/01/2019,SAG,PM10,64,2
16/01/2019,SAG,PM2.5,30,2
16/01/2019,SFE,PM10,44,2
16/01/2019,SFE,PM2.5,28,2
16/01/2019,TAH,PM10,61,2
16/01/2019,TLA,PM10,56,2
16/01/2019,TLA,PM2.5,32,2
16/01/2019,UAX,PM2.5,30,2
16/01/2019,UIZ,PM10,59,2
16/01/2019,UIZ,PM2.5,33,2
16/01/2019,VIF,PM10,52,2
16/01/2019,XAL,PM10,92,2
16/01/2019,XAL,PM2.5,38,2
16/01/2019,CCA,PM2.5,28,2
16/01/2019,MGH,PM10,49,2
16/01/2019,MGH,PM2.5,32,2
16/01/2019,AJM,PM10,48,2
16/01/2019,AJM,PM2.5,31,2
16/01/2019,GAM,PM10,57,2
16/01/2019,GAM,PM2.5,30,2
17/01/2019,ACO,PM10,52,2
17/01/2019,ATI,PM10,49,2
17/01/2019,MON,PM2.5,26,2
17/01/2019,CHO,PM10,65,2
17/01/2019,CUA,PM10,39,2
17/01/2019,CUT,PM10,61,2
17/01/2019,FAC,PM10,45,2
17/01/2019,HGM,PM10,58,2
17/01/2019,HGM,PM2.5,36,2
17/01/2019,IZT,PM10,54,2
17/01/2019,MER,PM10,63,2
17/01/2019,MER,PM2.5,32,2
17/01/2019,NEZ,PM2.5,29,2
17/01/2019,SAG,PM10,67,2
17/01/2019,SAG,PM2.5,30,2
17/01/2019,SFE,PM10,47,2
17/01/2019,SFE,PM2.5,28,2
17/01/2019,TAH,PM10,60,2
17/01/2019,TLA,PM10,53,2
17/01/2019,TLA,PM2.5,29,2
17/01/2019,UAX,PM2.5,25,2
17/01/2019,UIZ,PM10,54,2
17/01/2019,UIZ,PM2.5,29,2
17/01/2019,VIF,PM10,54,2
17/01/2019,XAL,PM10,102,2
17/01/2019,XAL,PM2.5,41,2
17/01/2019,CCA,PM2.5,28,2
17/01/2019,MGH,PM10,54,2
17/01/2019,MGH,PM2.5,34,2
17/01/2019,AJM,PM10,48,2
17/01/2019,AJM,PM2.5,28,2
17/01/2019,GAM,PM10,62,2
17/01/2019,GAM,PM2.5,33,2
18/01/2019,ACO,PM10,55,2
18/01/2019,ATI,PM10,49,2
18/01/2019,CHO,PM10,49,2
18/01/2019,CUA,PM10,29,2
18/01/2019,CUT,PM10,50,2
18/01/2019,FAC,PM10,40,2
18/01/2019,HGM,PM10,50,2
18/01/2019,HGM,PM2.5,29,2
18/01/2019,IZT,PM10,50,2
