"	date",id_station,id_parameter,value,unit
12/01/2018,ACO,PM10,58,2
12/01/2018,AJU,PM2.5,29,2
12/01/2018,CUA,PM10,37,2
12/01/2018,CUT,PM10,70,2
12/01/2018,FAC,PM10,43,2
12/01/2018,HGM,PM10,57,2
12/01/2018,HGM,PM2.5,29,2
12/01/2018,IZT,PM10,64,2
12/01/2018,MER,PM10,51,2
12/01/2018,MER,PM2.5,32,2
12/01/2018,NEZ,PM2.5,37,2
12/01/2018,SFE,PM10,43,2
12/01/2018,SFE,PM2.5,21,2
12/01/2018,TAH,PM10,74,2
12/01/2018,TLA,PM10,61,2
12/01/2018,TLA,PM2.5,26,2
12/01/2018,UAX,PM2.5,33,2
12/01/2018,XAL,PM10,79,2
12/01/2018,XAL,PM2.5,28,2
12/01/2018,CCA,PM2.5,24,2
12/01/2018,MGH,PM10,43,2
12/01/2018,MGH,PM2.5,22,2
12/01/2018,AJM,PM10,48,2
12/01/2018,AJM,PM2.5,25,2
12/01/2018,BJU,PM10,56,2
12/01/2018,BJU,PM2.5,29,2
12/01/2018,INN,PM10,38,2
12/01/2018,INN,PM2.5,18,2
12/01/2018,GAM,PM2.5,31,2
13/01/2018,ACO,PM10,81,2
13/01/2018,AJU,PM2.5,27,2
13/01/2018,ATI,PM10,62,2
13/01/2018,CUA,PM10,37,2
13/01/2018,CUT,PM10,88,2
13/01/2018,FAC,PM10,44,2
13/01/2018,HGM,PM10,74,2
13/01/2018,HGM,PM2.5,28,2
13/01/2018,IZT,PM10,81,2
13/01/2018,MER,PM10,58,2
13/01/2018,MER,PM2.5,29,2
13/01/2018,NEZ,PM2.5,38,2
13/01/2018,SFE,PM10,37,2
13/01/2018,SFE,PM2.5,15,2
13/01/2018,TAH,PM10,75,2
13/01/2018,TLA,PM10,72,2
13/01/2018,TLA,PM2.5,29,2
13/01/2018,TLI,PM10,86,2
13/01/2018,UAX,PM2.5,33,2
13/01/2018,VIF,PM10,78,2
13/01/2018,XAL,PM10,134,2
13/01/2018,XAL,PM2.5,35,2
13/01/2018,CCA,PM2.5,25,2
13/01/2018,MGH,PM10,55,2
13/01/2018,MGH,PM2.5,26,2
13/01/2018,AJM,PM10,47,2
13/01/2018,AJM,PM2.5,20,2
13/01/2018,BJU,PM10,68,2
13/01/2018,BJU,PM2.5,30,2
13/01/2018,INN,PM10,33,2
13/01/2018,INN,PM2.5,14,2
13/01/2018,GAM,PM2.5,31,2
14/01/2018,ACO,PM10,47,2
14/01/2018,AJU,PM2.5,22,2
14/01/2018,ATI,PM10,40,2
14/01/2018,CUA,PM10,34,2
14/01/2018,CUT,PM10,42,2
14/01/2018,FAC,PM10,28,2
14/01/2018,HGM,PM10,44,2
14/01/2018,HGM,PM2.5,26,2
14/01/2018,IZT,PM10,47,2
14/01/2018,MER,PM10,43,2
14/01/2018,MER,PM2.5,29,2
14/01/2018,NEZ,PM2.5,25,2
14/01/2018,SFE,PM10,37,2
14/01/2018,SFE,PM2.5,22,2
14/01/2018,TAH,PM10,43,2
14/01/2018,TLA,PM10,55,2
14/01/2018,TLA,PM2.5,31,2
14/01/2018,TLI,PM10,46,2
14/01/2018,UAX,PM2.5,24,2
14/01/2018,VIF,PM10,59,2
14/01/2018,XAL,PM10,60,2
14/01/2018,XAL,PM2.5,26,2
14/01/2018,CCA,PM2.5,23,2
14/01/2018,MGH,PM10,42,2
14/01/2018,MGH,PM2.5,28,2
14/01/2018,AJM,PM10,41,2
14/01/2018,AJM,PM2.5,24,2
14/01/2018,BJU,PM10,43,2
14/01/2018,BJU,PM2.5,26,2
14/01/2018,GAM,PM2.5,28,2
15/01/2018,ACO,PM10,83,2
15/01/2018,AJU,PM2.5,17,2
15/01/2018,ATI,PM10,61,2
15/01/2018,CUA,PM10,56,2
15/01/2018,CUT,PM10,68,2
15/01/2018,FAC,PM10,46,2
15/01/2018,HGM,PM10,59,2
15/01/2018,HGM,PM2.5,32,2
15/01/2018,IZT,PM10,63,2
15/01/2018,MER,PM10,52,2
15/01/2018,MER,PM2.5,32,2
15/01/2018,NEZ,PM2.5,35,2
15/01/2018,SFE,PM10,54,2
15/01/2018,SFE,PM2.5,30,2
15/01/2018,TAH,PM10,61,2
15/01/2018,TLA,PM10,81,2
15/01/2018,TLA,PM2.5,40,2
