DATETIME,HGM
2013-03-18,30.0
2013-03-19,52.0
2013-03-20,65.5
2013-03-21,70.0
2013-03-22,37.5
2013-03-23,20.0
2013-03-24,39.5
2013-03-25,78.0
2013-03-26,77.0
2013-03-27,44.5
2013-03-28,57.0
2013-03-29,54.0
2013-03-30,48.0
2013-03-31,47.0
2013-04-01,46.0
2013-04-02,52.0
2013-04-03,46.0
2013-04-04,68.5
2013-04-05,59.5
2013-04-06,66.0
2013-04-07,50.0
2013-04-08,41.0
2013-04-09,48.0
2013-04-10,46.0
2013-04-11,59.0
2013-04-12,44.5
2013-04-13,45.5
2013-04-14,56.0
2013-04-15,69.0
2013-04-16,76.5
2013-04-17,74.0
2013-04-18,70.0
2013-04-19,85.5
2013-04-20,83.5
2013-04-21,66.0
2013-04-22,80.0
2013-04-23,75.5
2013-04-24,64.5
2013-04-25,42.5
2013-04-26,67.0
2013-04-27,70.0
2013-04-28,48.0
2013-04-29,71.0
2013-04-30,43.0
2013-05-01,73.0
2013-05-02,77.5
2013-05-03,68.0
2013-05-04,85.0
2013-05-05,67.5
2013-05-06,83.5
2013-05-07,88.0
2013-05-08,87.0
2013-05-09,94.0
2013-05-10,88.5
2013-05-11,93.0
2013-05-12,63.0
2013-05-13,29.5
2013-05-14,36.0
2013-05-15,65.0
2013-05-16,54.0
2013-05-17,50.0
2013-05-18,37.5
2013-05-19,46.5
2013-05-20,37.0
2013-05-21,53.5
2013-05-22,56.0
2013-05-23,37.0
2013-05-24,47.5
2013-05-25,49.5
2013-05-26,31.0
2013-05-27,30.0
2013-05-28,44.5
2013-05-29,48.0
2013-05-30,46.0
2013-05-31,52.0
2013-06-01,53.0
2013-06-02,31.0
2013-06-03,28.0
2013-06-04,37.0
2013-06-05,44.0
2013-06-06,58.0
2013-06-07,57.5
2013-06-08,58.0
2013-06-09,43.5
2013-06-10,57.0
2013-06-11,58.0
2013-06-12,45.5
2013-06-13,49.0
2013-06-14,42.5
2013-06-15,43.5
2013-06-16,34.0
2013-06-17,41.5
2013-06-18,51.0
2013-06-19,29.0
2013-06-20,11.5
2013-06-21,21.0
2013-06-22,22.0
2013-06-23,16.0
2013-06-24,29.0
2013-06-25,31.5
2013-06-26,36.0
2013-06-27,42.0
2013-06-28,36.5
2013-06-29,37.0
2013-06-30,28.5
2013-07-01,29.0
2013-07-02,26.0
2013-07-03,28.5
2013-07-04,34.0
2013-07-05,25.0
2013-07-06,11.0
2013-07-07,12.0
2013-07-08,25.0
2013-07-09,33.0
2013-07-10,32.0
2013-07-11,21.0
2013-07-12,27.0
2013-07-13,27.5
2013-07-14,18.5
2013-07-15,26.0
2013-07-16,26.5
2013-07-17,24.0
2013-07-18,38.0
2013-07-19,26.0
2013-07-20,25.5
2013-07-21,23.0
2013-07-22,32.5
2013-07-23,28.0
2013-07-24,37.0
2013-07-25,27.0
2013-07-26,37.5
2013-07-27,33.0
2013-07-28,31.0
2013-07-29,38.0
2013-07-30,40.0
2013-07-31,32.0
2013-08-01,32.0
2013-08-02,28.5
2013-08-03,25.5
2013-08-04,24.0
2013-08-05,36.0
2013-08-06,47.0
2013-08-07,46.0
2013-08-08,49.5
2013-08-09,42.0
