,DATETIME,FECHA,HORA,MGH,AÑO,MES
131652,2015-01-07 13:00:00,2015-01-07 00:00:00,13,24.0,2015,1
131653,2015-01-07 14:00:00,2015-01-07 00:00:00,14,22.0,2015,1
131654,2015-01-07 15:00:00,2015-01-07 00:00:00,15,31.0,2015,1
131655,2015-01-07 16:00:00,2015-01-07 00:00:00,16,30.0,2015,1
131656,2015-01-07 17:00:00,2015-01-07 00:00:00,17,38.0,2015,1
131657,2015-01-07 18:00:00,2015-01-07 00:00:00,18,47.0,2015,1
131658,2015-01-07 19:00:00,2015-01-07 00:00:00,19,57.0,2015,1
131659,2015-01-07 20:00:00,2015-01-07 00:00:00,20,51.0,2015,1
131660,2015-01-07 21:00:00,2015-01-07 00:00:00,21,27.0,2015,1
131661,2015-01-07 22:00:00,2015-01-07 00:00:00,22,18.0,2015,1
131662,2015-01-07 23:00:00,2015-01-07 00:00:00,23,13.0,2015,1
131663,2015-01-07 00:00:00,2015-01-07 00:00:00,0,18.0,2015,1
131664,2015-01-08 01:00:00,2015-01-08 00:00:00,1,11.0,2015,1
131665,2015-01-08 02:00:00,2015-01-08 00:00:00,2,16.0,2015,1
131666,2015-01-08 03:00:00,2015-01-08 00:00:00,3,8.0,2015,1
131667,2015-01-08 04:00:00,2015-01-08 00:00:00,4,5.0,2015,1
131668,2015-01-08 05:00:00,2015-01-08 00:00:00,5,9.0,2015,1
131669,2015-01-08 06:00:00,2015-01-08 00:00:00,6,12.0,2015,1
131670,2015-01-08 07:00:00,2015-01-08 00:00:00,7,6.0,2015,1
131671,2015-01-08 08:00:00,2015-01-08 00:00:00,8,12.0,2015,1
131672,2015-01-08 09:00:00,2015-01-08 00:00:00,9,22.0,2015,1
131673,2015-01-08 10:00:00,2015-01-08 00:00:00,10,27.0,2015,1
131674,2015-01-08 11:00:00,2015-01-08 00:00:00,11,32.0,2015,1
131675,2015-01-08 12:00:00,2015-01-08 00:00:00,12,32.0,2015,1
131676,2015-01-08 13:00:00,2015-01-08 00:00:00,13,29.0,2015,1
131677,2015-01-08 14:00:00,2015-01-08 00:00:00,14,25.0,2015,1
131678,2015-01-08 15:00:00,2015-01-08 00:00:00,15,29.0,2015,1
131679,2015-01-08 16:00:00,2015-01-08 00:00:00,16,30.0,2015,1
131680,2015-01-08 17:00:00,2015-01-08 00:00:00,17,34.0,2015,1
131681,2015-01-08 18:00:00,2015-01-08 00:00:00,18,41.0,2015,1
131682,2015-01-08 19:00:00,2015-01-08 00:00:00,19,49.0,2015,1
131683,2015-01-08 20:00:00,2015-01-08 00:00:00,20,58.0,2015,1
131684,2015-01-08 21:00:00,2015-01-08 00:00:00,21,64.0,2015,1
131685,2015-01-08 22:00:00,2015-01-08 00:00:00,22,51.0,2015,1
131686,2015-01-08 23:00:00,2015-01-08 00:00:00,23,47.0,2015,1
131687,2015-01-08 00:00:00,2015-01-08 00:00:00,0,47.0,2015,1
131688,2015-01-09 01:00:00,2015-01-09 00:00:00,1,56.0,2015,1
131689,2015-01-09 02:00:00,2015-01-09 00:00:00,2,49.0,2015,1
131690,2015-01-09 03:00:00,2015-01-09 00:00:00,3,48.0,2015,1
131691,2015-01-09 04:00:00,2015-01-09 00:00:00,4,44.0,2015,1
131692,2015-01-09 05:00:00,2015-01-09 00:00:00,5,40.0,2015,1
131693,2015-01-09 06:00:00,2015-01-09 00:00:00,6,54.0,2015,1
131694,2015-01-09 07:00:00,2015-01-09 00:00:00,7,46.0,2015,1
131695,2015-01-09 08:00:00,2015-01-09 00:00:00,8,60.0,2015,1
131696,2015-01-09 09:00:00,2015-01-09 00:00:00,9,68.0,2015,1
131697,2015-01-09 10:00:00,2015-01-09 00:00:00,10,83.0,2015,1
131698,2015-01-09 11:00:00,2015-01-09 00:00:00,11,93.0,2015,1
131699,2015-01-09 12:00:00,2015-01-09 00:00:00,12,99.0,2015,1
131700,2015-01-09 13:00:00,2015-01-09 00:00:00,13,65.0,2015,1
131701,2015-01-09 14:00:00,2015-01-09 00:00:00,14,52.0,2015,1
131702,2015-01-09 15:00:00,2015-01-09 00:00:00,15,61.0,2015,1
131703,2015-01-09 16:00:00,2015-01-09 00:00:00,16,66.0,2015,1
131704,2015-01-09 17:00:00,2015-01-09 00:00:00,17,49.0,2015,1
131705,2015-01-09 18:00:00,2015-01-09 00:00:00,18,36.0,2015,1
131706,2015-01-09 19:00:00,2015-01-09 00:00:00,19,37.0,2015,1
131707,2015-01-09 20:00:00,2015-01-09 00:00:00,20,44.0,2015,1
131708,2015-01-09 21:00:00,2015-01-09 00:00:00,21,30.0,2015,1
131709,2015-01-09 22:00:00,2015-01-09 00:00:00,22,29.0,2015,1
131710,2015-01-09 23:00:00,2015-01-09 00:00:00,23,23.0,2015,1
131711,2015-01-09 00:00:00,2015-01-09 00:00:00,0,22.0,2015,1
131712,2015-01-10 01:00:00,2015-01-10 00:00:00,1,14.0,2015,1
131713,2015-01-10 02:00:00,2015-01-10 00:00:00,2,17.0,2015,1
131714,2015-01-10 03:00:00,2015-01-10 00:00:00,3,23.0,2015,1
131715,2015-01-10 04:00:00,2015-01-10 00:00:00,4,24.0,2015,1
131716,2015-01-10 05:00:00,2015-01-10 00:00:00,5,22.0,2015,1
131717,2015-01-10 06:00:00,2015-01-10 00:00:00,6,24.0,2015,1
131718,2015-01-10 07:00:00,2015-01-10 00:00:00,7,31.0,2015,1
131719,2015-01-10 08:00:00,2015-01-10 00:00:00,8,44.0,2015,1
131720,2015-01-10 09:00:00,2015-01-10 00:00:00,9,43.0,2015,1
131721,2015-01-10 10:00:00,2015-01-10 00:00:00,10,54.0,2015,1
131722,2015-01-10 11:00:00,2015-01-10 00:00:00,11,49.0,2015,1
131723,2015-01-10 12:00:00,2015-01-10 00:00:00,12,65.0,2015,1
131724,2015-01-10 13:00:00,2015-01-10 00:00:00,13,63.0,2015,1
131725,2015-01-10 14:00:00,2015-01-10 00:00:00,14,67.0,2015,1
131726,2015-01-10 15:00:00,2015-01-10 00:00:00,15,62.0,2015,1
131727,2015-01-10 16:00:00,2015-01-10 00:00:00,16,35.0,2015,1
131728,2015-01-10 17:00:00,2015-01-10 00:00:00,17,30.0,2015,1
131729,2015-01-10 18:00:00,2015-01-10 00:00:00,18,31.0,2015,1
131730,2015-01-10 19:00:00,2015-01-10 00:00:00,19,49.0,2015,1
131731,2015-01-10 20:00:00,2015-01-10 00:00:00,20,42.0,2015,1
131732,2015-01-10 21:00:00,2015-01-10 00:00:00,21,45.0,2015,1
131733,2015-01-10 22:00:00,2015-01-10 00:00:00,22,45.0,2015,1
131734,2015-01-10 23:00:00,2015-01-10 00:00:00,23,47.0,2015,1
131735,2015-01-10 00:00:00,2015-01-10 00:00:00,0,40.0,2015,1
131736,2015-01-11 01:00:00,2015-01-11 00:00:00,1,30.0,2015,1
131737,2015-01-11 02:00:00,2015-01-11 00:00:00,2,26.0,2015,1
131738,2015-01-11 03:00:00,2015-01-11 00:00:00,3,26.0,2015,1
131739,2015-01-11 04:00:00,2015-01-11 00:00:00,4,22.0,2015,1
131740,2015-01-11 05:00:00,2015-01-11 00:00:00,5,26.0,2015,1
131741,2015-01-11 06:00:00,2015-01-11 00:00:00,6,28.0,2015,1
131742,2015-01-11 07:00:00,2015-01-11 00:00:00,7,32.0,2015,1
131743,2015-01-11 08:00:00,2015-01-11 00:00:00,8,29.0,2015,1
131744,2015-01-11 09:00:00,2015-01-11 00:00:00,9,39.0,2015,1
131745,2015-01-11 10:00:00,2015-01-11 00:00:00,10,42.0,2015,1
131746,2015-01-11 11:00:00,2015-01-11 00:00:00,11,42.0,2015,1
131747,2015-01-11 12:00:00,2015-01-11 00:00:00,12,34.0,2015,1
131748,2015-01-11 13:00:00,2015-01-11 00:00:00,13,30.0,2015,1
131749,2015-01-11 14:00:00,2015-01-11 00:00:00,14,35.0,2015,1
131750,2015-01-11 15:00:00,2015-01-11 00:00:00,15,34.0,2015,1
131751,2015-01-11 16:00:00,2015-01-11 00:00:00,16,39.0,2015,1
131752,2015-01-11 17:00:00,2015-01-11 00:00:00,17,39.0,2015,1
131753,2015-01-11 18:00:00,2015-01-11 00:00:00,18,40.0,2015,1
131754,2015-01-11 19:00:00,2015-01-11 00:00:00,19,35.0,2015,1
131755,2015-01-11 20:00:00,2015-01-11 00:00:00,20,51.0,2015,1
131756,2015-01-11 21:00:00,2015-01-11 00:00:00,21,44.0,2015,1
131757,2015-01-11 22:00:00,2015-01-11 00:00:00,22,47.0,2015,1
131758,2015-01-11 23:00:00,2015-01-11 00:00:00,23,42.0,2015,1
131759,2015-01-11 00:00:00,2015-01-11 00:00:00,0,29.0,2015,1
131760,2015-01-12 01:00:00,2015-01-12 00:00:00,1,28.0,2015,1
