,Title,Type,Episodes,Status,Start_Airing,End_Airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
107,Doraemon Movie 28: Nobita to Midori no Kyojin Den,Movie,1,Finished Airing,"Mar 8, 2008",-,-,-,TV Asahi,add some,Shin-Ei Animation,Unknown,"Adventure,Comedy,Fantasy,Kids,Shounen",1 hr. 52 min.,PG - Children,7.50,1708,"3,317",4,"One day Nobita found a small sapling behind the hill but his mom won't allow him to plant it in the backyard. Using Doraemon's special tool, they made the tree alive so it could move around freely. Nobita name it Ki-bō and the two became like brothers. From there, a new adventure awaits..."
108,Genshiken Nidaime,TV,13,Finished Airing,"Jul 7, 2013 to Sep 29, 2013",-,"<a href=""https://myanimelist.net/anime/season/2013/summer"">Summer 2013</a>",Unknown,"Starchild Records,NIS America, Inc.","NIS America, Inc.",Production I.G,Manga,"Slice of Life,Comedy,Parody",24 min. per ep.,R - 17+ (violence & profanity),7.50,1709,"39,666",101,"Another college semester begins and the returning members of Genshiken attempt to recruit new club members. Three new members join the club, attracted by Ogiue's BL drawings. She welcomes the new members but fears the club will become a ""fujoshi"" haven for yaoi fans and is getting a bit too far removed from its original purpose.(Source: ANN)"
109,Hakuouki,TV,12,Finished Airing,"Apr 4, 2010 to Jun 20, 2010",-,"<a href=""https://myanimelist.net/anime/season/2010/spring"">Spring 2010</a>",Unknown,Sentai Filmworks,Sentai Filmworks,Studio Deen,Visual novel,"Action,Historical,Supernatural,Drama,Samurai,Josei",23 min. per ep.,R - 17+ (violence & profanity),7.50,1710,"124,780","1,937","In 1864 Japan, a young woman named Chizuru Yukimura is searching for her missing father, Koudou, a doctor by trade whose work often takes him far from home. But with no word from him in months, Chizuru disguises herself as a man and heads to Kyoto in search of him. Attracting the attention of ronin, she tries to hide and ends up witnessing a horrifying sight: the ronin being brutally murdered by crazed white-haired men. In a startling turn of events, members of the Shinsengumi arrive to dispatch the creatures. But Chizuru's safety doesn't last long, as this group of men tie her up and take her back to their headquarters, unsure of whether to let her live or silence her permanently.However, once she reveals the name of her father, the Shinsengumi decide to keep her safe, as they too have been searching for him. But Koudou is more connected to the Shinsengumi than they let on, and soon Chizuru finds herself embroiled in a conflict between the Shinsengumi and their enemies, as well as political tension in Kyoto.[Written by MAL Rewrite]"
110,Hokuto no Ken: Raoh Gaiden Junai-hen,Movie,1,Finished Airing,"Mar 11, 2006",-,-,-,North Stars Pictures,add some,TMS Entertainment,Unknown,"Action,Adventure,Martial Arts",1 hr. 35 min.,R - 17+ (violence & profanity),7.50,1711,"7,942",13,"Kenshiro is the heir of the legendary martial arts known as Hokuto Shinken, which can kill a man with a single blow, by striking the pressure points in the enemy's body. Hokuto Shinken can be passed only to one successor at a time. When he was chosen as the successor, he parted ways with his brothers, Toki and Raoh. The former decided to use what he knew of the art to cure people... while the latter has chosen to use his supreme strength to install peace in the world by power. <br/>
Kenshiro is accompanied by Lynn and Bart, and the movie's story begins when an overlord starts kidnapping children to use them as slaves for building his own pyramid... (Source: AniDB)"
111,Hollowness,add some,1,Finished Airing,"Aug 3, 2018",-,-,-,-,add some,-,Original,Music,5 min.,PG-13 - Teens 13 or older,7.50,1712,"1,444",3,Music video for the song <i>Hollowness</i> by Minami.
112,Initial D Extra Stage 2,OVA,1,Finished Airing,"Oct 3, 2008",-,-,-,,add some,A.C.G.T.,Manga,"Action,Cars,Sports,Drama,Seinen",54 min.,PG-13 - Teens 13 or older,7.50,1713,"20,935",29,"Iketani missed an opportunity to see Mako-chan and hates himself for never calling to say he was sorry. By chance he runs into her 6 months later, and the situation is awkward. Iketani does not have time to talk at that moment, but both want to talk, so they arrange a second meeting. Iketani goes to the meeting place early, but an old man was left behind from an tourist bus, and asks Iketani to catch the bus for him. Iketani being a nice guy, so he can't say no. "
113,K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,Movie,1,Finished Airing,"Oct 6, 2018",-,-,-,Viz Media,Viz Media,GoHands,Light novel,"Action,Super Power,Supernatural",57 min.,PG-13 - Teens 13 or older,7.49,1714,"9,314",12,"Misaki Yata is a youth whose reckless and immature attitude has led him to be shunned by his classmates. Saruhiko Fushimi is a loner who views the world in a pessimistic way. Despite being polar opposites, the two become the best of friends.(Source: TubiTV)"
114,Level E,TV,13,Finished Airing,"Jan 11, 2011 to Apr 5, 2011",-,"<a href=""https://myanimelist.net/anime/season/2011/winter"">Winter 2011</a>",Tuesdays at Unknown,"Aniplex,TV Tokyo Music,Sony Music Entertainment,Sakura Create,Funimation,Studio Pierrot",Funimation,David Production,Manga,"Sci-Fi,Comedy,Shounen",24 min. per ep.,R - 17+ (violence & profanity),7.50,1715,"72,956",302,"In the present day, hundreds of extraterrestrial species walk the Earth. Some are pacifistic, others violent. Some are here for research purposes, others are career criminals. However, humans don't know they are here.Now, one more alien has arrived on Earth. One of the universe's foremost geniuses with a personality that's bound to attract all sorts of trouble.(Source: AniDB)"
115,Mainichi Kaasan,TV,142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",-,"<a href=""https://myanimelist.net/anime/season/2009/spring"">Spring 2009</a>",Unknown,,add some,Nihon Ad Systems,Manga,"Slice of Life,Comedy",25 min. per ep.,PG - Children,7.50,1716,"2,316",24,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.
116,Mardock Scramble: The Third Exhaust,Movie,1,Finished Airing,"Sep 29, 2012",-,-,-,"Aniplex,Starchild Records,Sentai Filmworks",Sentai Filmworks,GoHands,Novel,"Action,Psychological,Sci-Fi",1 hr. 8 min.,R+ - Mild Nudity,7.50,1717,"28,839",53,"The final plans to finish Shell off in court have been made by Easter, Balot, and Oeufcoque. But in order to execute those plans, they must set foot into Shell's domain: the BlueEgg Casino in the center of Mardock City, and find the chip where his memories lie. If they can't find the chip, their case will be dismissed in court, and their ""usefulness"" will be gone – resulting in all of their deaths. Will Balot find the chip in time, while still dodging Boiled and his now mad search for her and Oeufcoque?(Source: the witch of theatregoing)"
